date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:14:50	454/454	---M--	403	error ('Forbidden')	text/html	date:Sun,%2025%20Apr%202021%2021:14:50%20GMT	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/font/fontawesome-webfont.ttf?v=4.0.1	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/font/fontawesome-webfont.109b1a.delayed	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/fonts.css)
00:14:50	26489/26489	---M--	200	added ('OK')	image/png	etag:%22d3cf9630c96875bcc999497e10d0ebd2%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/images/footer.png	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/images/footer.png	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/)
00:14:51	454/454	---M--	403	error ('Forbidden')	text/html	date:Sun,%2025%20Apr%202021%2021:14:50%20GMT	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/font/fontawesome-webfont.svg?v=4.0.1	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/font/fontawesome-webfont.119b1a.delayed	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/fonts.css)
00:14:51	11284/11284	---M--	200	added ('OK')	image/png	etag:%227ae6f21f8a599877b90a5b8851279379%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/images/education.png	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/images/education.png	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/education.html)
00:14:53	2172/2172	---M--	200	added ('OK')	text/html	etag:%2241c745768b1089823d64bc05bf370641%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/index.html	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/index.html	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/teaching.html)
00:14:53	13807/13807	---M--	200	added ('OK')	image/png	etag:%2286d88e1727853789eaad8e8a94af57ee%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/images/publication.png	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/images/publication.png	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/research.html)
00:14:54	37552/37552	---M--	200	added ('OK')	image/png	etag:%227b0adb5104383371f8daf2cec543f061%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/images/research.png	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/images/research.png	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/research.html)
00:14:54	13100/13100	---M--	200	added ('OK')	image/png	etag:%22eb70607ea6e3e17ddf59e53e71864d18%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/images/teaching.png	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/images/teaching.png	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/teaching.html)
00:14:55	16937/16937	---M--	200	added ('OK')	image/png	etag:%225b3124b92017e0ec25094da621cf1fff%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/images/contact.png	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/images/contact.png	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/contact.html)
00:14:55	11077/11077	---M--	200	added ('OK')	text/css	etag:%228356ca60d89e191363a0a44f9f1ea723%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/default.css	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/default.css	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/index.html)
00:14:55	19845/19845	---M--	200	added ('OK')	text/css	etag:%225819d56f92c548fb17e6999e1a2eaaaa%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/fonts.css	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/fonts.css	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/index.html)
00:14:56	14393/14393	---M--	200	added ('OK')	image/png	etag:%2297aab6ae7235572a0458205f511761ba%22	http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/images/bjkLogo.png	C:/Users/User/Desktop/website/website/evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/images/bjkLogo.png	(from http://evrimguler.com.s3-website.us-east-2.amazonaws.com/csc2010/index.html)
